bateria,u,sigma2,ciclos
B0005,1.0000512153970187,3.6980331987796717e-06,168
B0018,1.0000030278524057,1.3483924875708308e-05,132
B0006,1.0000363736101767,1.1508112727303658e-05,168
B0007,1.0000329446264755,2.899628116315295e-06,168
B0027,0.9999213327282254,9.173978942821702e-07,28
B0026,1.0005861434033851,8.666904209400659e-05,28
B0025,0.9999219420895877,8.663429665410981e-07,28
B0028,0.999935641335376,5.967964399741274e-07,28
B0039,0.9980996165702846,2.557705907472294e-05,35
B0036,0.9992613507026764,0.00014667683505477553,197
B0027,0.9999213327282254,9.173978942821702e-07,28
B0043,0.9999538650397951,3.437527466374928e-06,65
B0026,1.0005861434033851,8.666904209400659e-05,28
B0032,0.9994687066972836,1.3698574161723249e-05,40
B0029,0.9995422277917877,8.837196044105707e-06,40
B0040,0.9992406539262195,0.0014664361848985106,44
B0041,1.0011675624802203,1.033803883573752e-05,25
B0042,0.9999203308500694,7.5656683366920816e-06,65
B0033,0.9993590508330942,0.00016976757849713095,187
B0034,0.9991958493712672,0.00015957643307168816,197
B0025,0.9999219420895877,8.663429665410981e-07,28
B0038,0.9983513603746665,0.00043727104530538936,47
B0031,0.9995430629026911,1.1734014690307705e-05,40
B0028,0.999935641335376,5.967964399741274e-07,28
B0030,0.9996792071572085,1.0945639664339923e-05,40
B0044,0.9999869144439061,3.838484043826259e-06,65
B0047,1.0003034970842928,2.2103226154295173e-05,69
B0048,1.0002756897978682,2.0844796511305296e-05,69
B0046,1.000328094651873,2.7834015193979336e-05,69
B0045,1.0005949038944633,3.282345989664089e-05,70
B0051,0.9871830137133163,0.005433975581914899,24
B0049,0.9910967984669855,0.004573594257574988,24
B0056,0.9990501512862334,0.00011415410294244768,102
B0055,0.9991899143178637,8.536518558875005e-05,102
B0054,0.9992418891811979,9.480700287681341e-05,102
B0053,0.9998640228416937,5.3895611538941365e-05,55
