bateria,u,ciclos,rmse,loss_mae
B0005,0.9999951984971077,168,1.5398982349076742,1.3150840114235425
B0018,1.0000108839643576,132,1.7113516661841612,1.35356348070389
B0006,1.0000048463353566,168,1.7458019356267596,1.3422808778876754
B0007,0.9999998681887798,168,1.219446963612996,1.0137100263735273
B0036,0.9999977511598153,196,3.2362715779610083,0.9517722851570988
B0043,0.9999416441071246,65,1.6789848068363111,1.3521478789251333
B0042,0.9999111166195123,65,1.0300064069926935,0.7276376840407505
B0033,1.000005600080523,182,4.13910618792184,2.4060033543892496
B0034,1.0000054378101235,196,4.104252675675909,2.867466227371747
B0044,0.9999684114083413,65,1.5903805234343866,1.2466056228621978
B0056,1.000021062001729,101,2.9331555143648433,2.2803069319138256
B0055,1.0000368173547478,101,2.5463700827212836,1.8882993677015758
B0054,1.0000153731076982,101,2.360194159291388,1.7833999099734859
