pasta,arquivo,bateria,valor_u,sigma2,num_ciclos
1,B0005_discharge.csv,B0005,1.0000344626296258,0.00014587096523245097,168
1,B0018_discharge.csv,B0018,0.9997128753546913,0.0005139759838524702,132
1,B0006_discharge.csv,B0006,0.9998570934198494,0.00045445707403511237,168
1,B0007_discharge.csv,B0007,1.0000116615971537,0.00013367486626599806,168
2,B0027_discharge.csv,B0027,0.9997565001484747,0.00013047910654107517,28
2,B0026_discharge.csv,B0026,0.9904667142690642,0.018910076396886702,28
2,B0025_discharge.csv,B0025,0.999543930579016,8.636596368000715e-05,28
2,B0028_discharge.csv,B0028,0.9995272900678916,8.69720836796406e-05,28
3,B0039_discharge.csv,B0039,0.6380208119278472,0.7607255647647294,47
3,B0036_discharge.csv,B0036,0.9902865376517914,0.008123307360786515,197
3,B0027_discharge.csv,B0027,0.9997565001484747,0.00013047910654107517,28
3,B0026_discharge.csv,B0026,0.9904667142690642,0.018910076396886702,28
3,B0032_discharge.csv,B0032,0.9965201715457637,0.0005260411277155727,40
3,B0029_discharge.csv,B0029,0.9973083239130632,0.0003455285280320356,40
3,B0040_discharge.csv,B0040,0.9459141990278006,0.1216788656499122,47
3,B0041_discharge.csv,B0041,0.15969371445527475,10.450816048994627,67
3,B0033_discharge.csv,B0033,0.6957521542190418,0.3075138405150753,197
3,B0034_discharge.csv,B0034,0.9839864554119451,0.011989949970810813,197
3,B0025_discharge.csv,B0025,0.999543930579016,8.636596368000715e-05,28
3,B0038_discharge.csv,B0038,0.982662956067946,0.02482055677523274,47
3,B0031_discharge.csv,B0031,0.9968668270349518,0.0005113011131944312,40
3,B0028_discharge.csv,B0028,0.9995272900678916,8.69720836796406e-05,28
3,B0030_discharge.csv,B0030,0.9976087446198423,0.0003617628119938444,40
6,B0056_discharge.csv,B0056,0.9866479439526021,0.00754607315197097,102
6,B0055_discharge.csv,B0055,0.9881660248450514,0.005983740094591238,102
6,B0054_discharge.csv,B0054,0.9800439133807847,0.015291500315631557,103
6,B0053_discharge.csv,B0053,0.9788768488746771,0.020239459186287515,56
